Time,Driver,Position,GapToLeader,IntervalToPositionAhead
3.627,55,1,LAP 1,LAP 1
3867.694,55,1,LAP 2,LAP 2
3969.114,55,1,LAP 3,LAP 3
4070.082,55,1,LAP 4,LAP 4
4170.706,55,1,LAP 5,LAP 5
4271.22,55,1,LAP 6,LAP 6
4371.313,55,1,LAP 7,LAP 7
4471.499,55,1,LAP 8,LAP 8
4571.998,55,1,LAP 9,LAP 9
4671.638,55,1,LAP 10,LAP 10
4771.996,55,1,LAP 11,LAP 11
4872.292,55,1,LAP 12,LAP 12
4972.806,55,1,LAP 13,LAP 13
5073.196,55,1,LAP 14,LAP 14
5173.585,55,1,LAP 15,LAP 15
5273.506,55,1,LAP 16,LAP 16
5372.927,55,1,LAP 17,LAP 17
5472.379,55,1,LAP 18,LAP 18
5571.331,55,1,LAP 19,LAP 19
5670.376,55,1,LAP 20,LAP 20
5787.25,55,1,LAP 21,LAP 21
5975.779,55,1,LAP 22,LAP 22
6126.574,55,1,LAP 23,LAP 23
6229.01,55,1,LAP 24,LAP 24
6328.806,55,1,LAP 25,LAP 25
6428.539,55,1,LAP 26,LAP 26
6527.71,55,1,LAP 27,LAP 27
6627.553,55,1,LAP 28,LAP 28
6728.786,55,1,LAP 29,LAP 29
6829.004,55,1,LAP 30,LAP 30
6929.237,55,1,LAP 31,LAP 31
7028.829,55,1,LAP 32,LAP 32
7128.047,55,1,LAP 33,LAP 33
7227.249,55,1,LAP 34,LAP 34
7327.295,55,1,LAP 35,LAP 35
7427.278,55,1,LAP 36,LAP 36
7526.824,55,1,LAP 37,LAP 37
7626.698,55,1,LAP 38,LAP 38
7726.212,55,1,LAP 39,LAP 39
7825.461,55,1,LAP 40,LAP 40
7924.866,55,1,LAP 41,LAP 41
8024.74,55,1,LAP 42,LAP 42
8124.598,55,1,LAP 43,LAP 43
8223.847,55,1,LAP 44,LAP 44
8362.439,55,1,LAP 45,LAP 45
8483.813,55,1,LAP 46,LAP 46
8581.671,55,1,LAP 47,LAP 47
8679.31,55,1,LAP 48,LAP 48
8777.512,55,1,LAP 49,LAP 49
8875.746,55,1,LAP 50,LAP 50
8974.37,55,1,LAP 51,LAP 51
9072.4,55,1,LAP 52,LAP 52
9170.649,55,1,LAP 53,LAP 53
9268.944,55,1,LAP 54,LAP 54
9367.693,55,1,LAP 55,LAP 55
9466.255,55,1,LAP 56,LAP 56
9564.738,55,1,LAP 57,LAP 57
9663.643,55,1,LAP 58,LAP 58
9762.97,55,1,LAP 59,LAP 59
9862.531,55,1,LAP 60,LAP 60
9962.593,55,1,LAP 61,LAP 61
10061.92,55,1,LAP 62,LAP 62
3.627,63,2,,
3769.304,63,2,+0.285,+0.285
3772.476,63,3,+0.285,+0.285
3772.757,63,3,+0.582,+0.247
3775.882,63,3,+0.766,+0.401
3775.898,63,4,+0.766,+0.401
3782.476,63,4,+1.443,+0.066
3785.117,63,4,+1.539,+0.036
3789.976,63,4,+2.208,+0.184
3793.491,63,4,+2.304,+0.143
3797.554,63,4,+2.228,+0.011
3804.569,63,4,+2.784,+0.282
3811.382,63,4,+2.936,+0.598
3816.444,63,4,+3.069,+0.785
3821.007,63,4,+3.001,+0.797
3824.694,63,4,+2.999,+0.814
3830.288,63,4,+2.893,+0.743
3835.522,63,4,+2.819,+0.762
3841.21,63,4,+2.490,+0.737
3848.803,63,4,+2.491,+0.853
3852.006,63,4,+2.461,+0.827
3856.647,63,4,+2.351,+0.677
3863.1,63,4,+2.496,+0.742
3864.709,63,4,+2.464,+0.740
3867.35,63,4,+2.454,+0.720
3869.178,63,4,+2.464,+0.747
3870.147,63,4,+2.463,+0.749
3873.397,63,4,+2.441,+0.756
3876.272,63,4,+2.664,+0.839
3878.944,63,4,+2.636,+0.899
3884.897,63,4,+2.338,+0.865
3887.381,63,4,+2.281,+0.889
3891.756,63,4,+2.435,+0.868
3895.287,63,4,+2.458,+0.890
3899.397,63,4,+2.406,+0.864
3906.115,63,4,+2.627,+0.400
3912.959,63,4,+2.983,+0.400
3912.959,63,3,+2.983,+0.400
3917.74,63,3,+2.958,+1.438
3922.271,63,3,+2.892,+1.398
3926.037,63,3,+2.867,+1.357
3931.552,63,3,+2.677,+1.165
3936.74,63,3,+2.604,+1.167
3942.49,63,3,+2.257,+0.955
3949.958,63,3,+2.304,+1.024
3953.177,63,3,+2.291,+1.013
3957.818,63,3,+2.250,+0.948
3964.161,63,3,+2.260,+0.953
3965.755,63,3,+2.224,+0.926
3968.396,63,3,+2.171,+0.958
3970.208,63,3,+2.180,+0.986
3971.271,63,3,+2.183,+0.993
3974.505,63,3,+2.185,+1.020
3977.13,63,3,+2.117,+1.016
3979.911,63,3,+2.123,+1.010
3985.942,63,3,+2.081,+0.825
3988.458,63,3,+2.057,+0.812
3992.833,63,3,+2.128,+0.899
3996.27,63,3,+2.111,+0.877
4000.302,63,3,+1.971,+0.785
4007.083,63,3,+2.187,+1.027
4013.786,63,3,+2.266,+1.200
