Time,Driver,Position,GapToLeader,IntervalToPositionAhead
7.078,1,1,,
7.125,1,1,LAP 1,LAP 1
3387.508,1,1,LAP 2,LAP 2
3486.6,1,1,LAP 3,LAP 3
3586.052,1,1,LAP 4,LAP 4
3685.41,1,1,LAP 5,LAP 5
3784.612,1,1,LAP 6,LAP 6
3884.033,1,1,LAP 7,LAP 7
3983.704,1,1,LAP 8,LAP 8
4083.437,1,1,LAP 9,LAP 9
4183.202,1,1,LAP 10,LAP 10
4282.904,1,1,LAP 11,LAP 11
4382.528,1,1,LAP 12,LAP 12
4482.261,1,1,LAP 13,LAP 13
4581.931,1,1,LAP 14,LAP 14
4681.305,1,1,LAP 15,LAP 15
4780.679,1,1,LAP 16,LAP 16
4880.053,1,1,LAP 17,LAP 17
4979.88,1,1,LAP 18,LAP 18
5079.051,1,1,LAP 19,LAP 19
7.078,16,2,,
3292.134,16,2,+0.162,+0.162
3295.165,16,2,+0.101,+0.101
3302.837,16,3,+0.101,+0.101
3302.868,16,3,+0.449,+0.029
3306.274,16,3,+0.514,+0.051
3310.321,16,3,+0.858,+0.283
3316.025,16,3,+1.283,+0.747
3319.665,16,3,+1.401,+0.854
3324.633,16,3,+1.516,+0.931
3329.165,16,3,+1.527,+0.946
3337.336,16,3,+1.689,+1.004
3341.711,16,3,+1.682,+0.994
3344.93,16,3,+1.625,+0.944
3349.164,16,3,+1.538,+0.876
3356.461,16,3,+1.746,+1.084
3363.055,16,3,+1.941,+1.221
3368.633,16,3,+1.977,+1.164
3374.195,16,3,+2.082,+1.250
3377.82,16,3,+2.168,+1.279
3384.07,16,3,+2.393,+1.515
3387.445,16,3,+2.374,+1.517
3389.976,16,3,+2.470,+1.683
3395.429,16,3,+2.394,+1.666
3397.664,16,3,+2.346,+1.637
3404.523,16,3,+2.495,+1.712
3407.851,16,3,+2.497,+1.724
3411.601,16,3,+2.473,+1.778
3416.835,16,3,+2.708,+2.039
3420.304,16,3,+2.773,+2.102
3425.288,16,3,+2.915,+2.172
3429.773,16,3,+2.944,+2.118
3437.851,16,3,+2.964,+2.058
3442.179,16,3,+2.963,+2.049
3445.413,16,3,+2.912,+2.114
3449.663,16,3,+2.801,+2.280
3456.71,16,3,+2.874,+2.273
3463.241,16,3,+3.033,+2.377
3468.866,16,3,+3.029,+2.089
3474.491,16,3,+3.145,+2.155
3478.116,16,3,+3.244,+2.186
3484.319,16,3,+3.503,+2.283
3487.725,16,3,+3.560,+2.342
3490.194,16,3,+3.608,+2.433
3495.585,16,3,+3.520,+2.397
3497.788,16,3,+3.402,+2.318
3504.553,16,3,+3.436,+2.349
3507.897,16,3,+3.416,+2.354
3511.506,16,3,+3.302,+2.344
3516.678,16,3,+3.535,+2.565
3520.131,16,3,+3.525,+2.548
3525.115,16,3,+3.594,+2.703
3529.615,16,3,+3.552,+2.653
3537.662,16,3,+3.553,+2.573
3542.022,16,3,+3.548,+2.568
3545.24,16,3,+3.499,+2.641
3549.49,16,3,+3.362,+2.798
3556.475,16,3,+3.322,+2.693
3563.021,16,3,+3.401,+2.771
